44,4,58,112,120,213,240,311,378,427,463
49,18,89,122,127,216,322,380,431,474,561
6,28,125,209,223,311,393,412,516,569,661
10,49,141,304,375,433,462,466,542,586,720
28,131,173,308,443,489,500,524,614,669,794
41,168,240,324,495,497,570,583,637,706,839
39,220,268,364,571,573,600,696,702,793,868
17,271,312,440,583,652,711,741,743,877,964
15,341,349,450,616,723,739,754,820,879,1042
26,421,492,534,660,737,821,914,959,1045,1104
7,479,558,565,708,831,925,931,1006,1101,1179
20,526,592,665,790,874,958,994,1096,1183,1276
42,573,632,731,814,914,1023,1090,1125,1281,1283
11,584,639,828,882,1004,1084,1171,1244,1314,1409
8,654,660,882,883,1013,1142,1223,1324,1395,1462
1,662,759,896,970,1088,1169,1292,1389,1484,1567
16,715,820,959,1002,1137,1210,1382,1471,1547,1639
32,793,871,1022,1101,1159,1281,1389,1558,1640,1709
22,830,963,1068,1160,1176,1380,1437,1590,1698,1791
40,842,1033,1082,1241,1331,1430,1465,1651,1733,1819
25,915,1109,1201,1317,1393,1475,1567,1745,1804,1900
18,1011,1174,1224,1385,1490,1517,1633,1821,1876,1952
46,1101,1212,1310,1452,1561,1579,1687,1859,1928,2031
24,1162,1277,1344,1512,1583,1598,1743,1937,1994,2096
27,1167,1358,1414,1541,1594,1618,1824,1951,2033,2169
47,1225,1364,1445,1598,1681,1777,1877,1988,2082,2245
14,1303,1382,1491,1641,1715,1779,1907,2001,2158,2266
35,1394,1485,1582,1726,1796,1846,1999,2072,2225,2335
9,1436,1539,1622,1730,1825,1923,2069,2143,2265,2365
13,1527,1603,1626,1772,1888,1970,2105,2181,2316,2428
21,1557,1638,1716,1799,1910,1971,2143,2217,2362,2450
31,1636,1687,1788,1893,1983,2056,2176,2275,2460,2507
3,1709,1742,1819,1970,2053,2118,2271,2335,2476,2606
48,1755,1763,1918,2036,2066,2184,2346,2426,2568,2638
12,1843,1878,1962,2066,2144,2225,2347,2462,2571,2723
30,1854,1973,2066,2112,2203,2290,2386,2480,2607,2776
5,1950,2041,2151,2181,2267,2325,2475,2484,2691,2836
4,2041,2089,2188,2202,2278,2342,2513,2585,2698,2923
29,2090,2117,2251,2275,2363,2453,2551,2588,2767,2956
43,2129,2210,2305,2362,2433,2549,2612,2614,2793,3009
33,2186,2275,2367,2435,2505,2575,2687,2717,2837,3020
37,2280,2297,2420,2452,2550,2582,2722,2799,2898,3023
34,2327,2344,2450,2501,2602,2699,2765,2872,2968,3054
38,2360,2379,2469,2600,2639,2777,2779,2932,3006,3075
36,2452,2475,2571,2687,2732,2820,2864,2937,3080,3147
23,2515,2585,2625,2707,2763,2823,2961,3045,3104,3168
50,2599,2697,2699,2776,2875,2898,3035,3079,3179,3183
45,2649,2749,2813,2849,2919,2985,3055,3148,3191,3196
19,2676,2820,2915,2923,2933,3003,3083,3177,3194,3235
2,2753,2869,2932,2961,3004,3102,3130,3198,3239,3242
